,sigma1_crev_clean,sigma2_crev_clean
551,133965.6433717479,-91281.00322112723
552,135873.62106456954,-80942.88940679166
553,133169.61485540614,-74037.68979942251
554,125749.66731537547,-71058.54107335841
555,113993.87679741465,-71731.02881369987
556,98025.20188690705,-75926.08634548058
557,127109.43968092265,-30276.215357707944
558,144934.3021014025,-16776.118448225345
559,159222.14397090802,-7051.004180056465
560,171001.31768991586,225.72494394370005
561,180762.65088906384,6134.332993990392
562,188779.56975635176,11589.70131238793
563,195614.57950467867,17812.52516896579
564,201159.49332476003,24383.5638478903
565,205590.27241447422,31481.95794433891
566,208539.90502520278,38287.93076151349
567,210142.00967723294,44813.339008744486
568,210357.3291328687,50765.716779871
569,209128.5278167395,55518.37962560626
570,206325.22034715343,58419.99785896328
571,201650.05786695034,58416.164589777894
572,195436.3475661787,56270.706161058464
573,187483.51993382134,51625.522174442434
574,177579.23653994483,44395.62150793489
575,165198.92320760898,34125.81117545524
576,150536.13252999567,22687.35910057062
577,133366.04638520587,10923.135536849652
578,111525.81099374601,-3765.0829543674263
579,224737.29274821328,138021.47983914026
580,226415.54578415368,153512.5958542587
581,228240.97658312487,164459.385097829
582,231154.48103682816,170770.44394044965
583,235050.81877692422,172263.31096969632
584,238992.24434933532,169936.9612126046
585,242117.68837372694,164331.84130742188
586,243437.90776836642,156111.35526030845
587,242331.03960264393,144869.98074715422
588,238507.8672446041,129914.09192089034
589,231702.32905911093,110236.19399991984
590,221280.26139317435,84603.83417237438
591,205827.68195805408,51265.05808380987
592,183227.03193745736,9175.742931533052
593,152312.23310456413,-39073.65903899083
594,117125.26658399215,-85276.69901722982
595,86457.03787650017,-121168.28271063374
596,65969.1325951338,-145088.83826716914
597,56244.17546489203,-159011.99080099468
598,54228.73794124766,-166527.64502256137
599,58553.748994119764,-168246.88852581926
600,66326.83002816571,-166308.726545813
601,76046.6490225734,-161131.08238030507
602,86492.67152954661,-153516.0304254485
603,96920.35794297635,-144111.31436011533
604,106577.7748899846,-133524.588757174
605,114207.7524132097,-122813.70012020913
606,118152.48858373478,-113537.41949753888
607,117723.80868276046,-106716.87316938562
608,112931.73430454319,-102806.74321175746
609,103706.17240828581,-102085.68562398935
610,90390.41074082904,-104215.79845392099
611,73263.60924143538,-108778.72347152619
612,140784.12581158304,-21261.5617187369
613,157965.41805468666,-7143.338622651383
614,171204.17763795034,2539.7228429526294
615,181877.95568144246,9311.966592180921
616,190171.20185122424,14159.126017810879
617,196509.23596553193,18133.37167466423
618,201567.6978627246,22600.740407534642
619,205315.94004637862,27265.086350889585
620,208078.39969927867,32528.065378499596
621,209499.81718497706,37637.69885901318
622,209737.4735487027,42598.55092093497
623,208736.85978013073,47062.02652155272
624,206434.33089413936,50588.09241263619
625,202582.8865784352,52287.90983477757
626,196881.38772743422,51062.122933975596
627,189515.76340827154,47502.957421195984
628,180177.15795045363,41022.546579324044
629,168483.37801402595,31410.99196462761
630,153632.32576248562,17876.42458462082
631,135247.1724697791,1568.9591476727364
632,112420.37720463102,-17255.896546998432
633,79987.23618774567,-43254.40660676433
634,228082.96304548657,126210.90955982837
635,232356.56780189995,145169.35587704324
636,236239.45586625367,159003.84652731675
637,240372.623783477,167713.45955157664
638,244618.92435574185,171897.51941743304
639,248390.76688379145,172232.6693070832
640,251028.2956736176,169464.34237158185
641,251883.44940494903,163702.74613627477
642,250421.5588897553,155068.64060352856
643,246560.25520410022,143135.55561513844
644,240267.60282742273,127234.91264616138
645,231289.76126788938,106583.24058208484
646,218872.0243819342,79594.38154985767
647,201924.27638532122,45203.46770628376
648,177193.24334706753,678.021207222133
649,146263.71550546275,-46855.32614750424
650,114998.00810136128,-88707.72484689209
651,90838.82381063353,-119311.13434305135
652,76287.36907297387,-139307.96401874223
653,70061.91628755296,-151354.72184899886
654,69817.32864778572,-157745.35269384086
655,73386.13944274795,-159973.6506398759
656,79054.79246031451,-158934.21612273052
657,85442.04684811932,-155767.32551671774
658,92219.12983299192,-150557.082302154
659,98481.02053718106,-144130.32458676607
660,102954.76750707257,-137528.34524867445
661,103954.70075226088,-132128.4673669336
662,100687.15146375564,-128773.56975925472
663,93511.31932288696,-127673.30679311833
664,82364.2840221642,-128899.7967239133
665,67501.77826150223,-132147.89215204987
666,49726.21600511917,-136537.34010852827
667,127337.54063075574,-38314.37138503495
668,150536.55140987493,-16520.295306999556
669,167885.47194170475,-844.4086238708551
670,180873.6534926853,9676.118273737287
671,190769.42893405168,16686.319952567108
672,198023.02987633873,21165.897163986738
673,203005.40917931093,24183.879263327544
674,206491.86758652425,27236.3235699879
675,208622.68497165083,30318.386370011096
676,209725.12056890182,33819.76547073091
677,209555.72261388513,37150.65205442112
678,208239.65847401496,40302.086820902434
679,205791.14682983447,42994.01678233425
680,202032.9492961353,44836.41513969787
681,196808.12656602828,44889.929290550106
682,189631.90509082074,41776.02471782238
683,180671.1427476898,35930.11817840612
684,169251.69504736608,26485.20129512997
685,154881.6536796483,12895.838152402692
686,136100.4467110596,-6059.509066370265
687,111951.48613104166,-29269.666725859926
688,81621.38997336125,-55414.80555614564
689,229648.30538573617,105204.73847231043
690,236889.03943804096,128522.83499885353
691,242720.00782847393,146195.4184342333
692,247770.54727588323,158464.67838652877
693,252119.06564522986,166188.48091368502
694,255518.55058136108,169793.14074959615
695,257627.0598788439,169753.2176101689
696,257921.25277358358,166537.08857580886
