,sigma1_nocrev_clean,sigma2_nocrev_clean
494,-87461.08438486062,-181188.5282892524
495,-87553.66982399227,-198219.36147986652
496,-86274.95189676087,-211226.670688069
497,-82723.52361801386,-220388.24345407888
498,-75854.53273094271,-225509.7174923774
499,-64530.07236144488,-226215.81535579503
500,8399.698508844594,-158477.24170864266
501,7206.245377125524,-156253.55341032485
502,94833.90217111762,-93055.89445903483
503,79559.05229963714,-109729.43580530494
504,65665.53872042251,-123293.62850417581
505,54421.14485323762,-133093.11934235238
506,46878.41328787286,-138741.3908764177
507,40988.944514730974,-142262.01367726325
508,37118.27437847579,-142001.82150481426
509,38167.44197692734,-139393.06525024213
510,40676.99284507781,-135621.28965669515
511,44676.11522282615,-130751.44865099709
512,-74900.87882960202,-144070.05275519146
513,-79278.16424301916,-169977.56777401688
514,-82105.26559361408,-190105.91337331157
515,-83379.76993251857,-206097.53726931676
516,-82887.65116538177,-218544.6774721247
517,-79988.8785549435,-227376.42965613073
518,-73776.73926004586,-232285.01301012293
519,-63298.463195332704,-232897.42367935713
520,18617.78418285215,-150279.40033630555
521,18636.16523309477,-146223.41675658015
522,23162.797123684097,-138951.5258976124
523,90249.00862285367,-101949.21944178504
524,77437.80064902073,-116058.28058009772
525,55753.40911303426,-136013.39608827504
526,48961.52822353886,-140752.81164379072
527,40052.534975880786,-140063.23729057773
528,42123.200599623684,-136307.1587185564
529,45891.773016352425,-131401.19516843843
530,60645.38615186052,-113257.60755433276
531,-71318.08350028208,-179409.52195217868
532,-76901.5793541439,-198223.54962829678
533,-79657.84185976445,-213560.9988721624
534,-80090.50152864556,-225658.92174760526
535,-77877.10599455742,-234295.91553120903
536,-72244.70669416497,-239052.94175530557
537,-62458.548969603245,-239563.66228597012
538,37968.09268627422,-137384.71970919718
539,34152.53095701117,-135598.00838000607
540,33464.55056232941,-131412.7319172505
541,37508.25381148742,-123818.68355867195
542,47639.48886467524,-112007.0744514356
543,63604.99469062251,-95559.81334879594
544,81792.25277801647,-77024.66497732411
545,64043.33312111907,-110307.1845872176
546,66362.20573206195,-106531.01626401137
547,-72483.5424497424,-205792.11497429362
548,-76762.6735237844,-220762.81652622018
549,-78086.94142569833,-232608.80782851344
550,-76450.36620112024,-241062.6371838295
551,-71196.19028819664,-245583.13747890425
552,-62035.082035833766,-246003.87758696647
553,86876.41268303947,-107938.77033333722
554,75982.23335967177,-111973.69625141051
555,66025.63181961047,-115058.97507754927
556,58313.27686074361,-116170.04453523201
557,53438.38011735804,-114964.19383125669
558,51457.527509502936,-111523.26753846706
559,54863.9910885921,-104313.46266173996
560,63918.20562728712,-93105.35015894668
561,76301.97710956106,-79855.38521967115
562,69644.6402715002,-104601.60675094933
563,72444.42671299353,-100012.4614269115
564,152675.55307771865,61290.15437954168
