crev_maps,temp_maps,temp_model,viscosity,strain_experiments,correlation,error
all,JJA,RACMO,1,Exp7,Gaussian,0.057736
all,JJA,RACMO,1,Exp8,Gaussian,0.043971
all,JJA,RACMO,1,Exp9,Gaussian,0.045759
all,JJA,RACMO,1,Exp0,Exponential,0.043669
all,JJA,RACMO,1,Exp1,Exponential,0.033439
all,JJA,RACMO,1,Exp2,Exponential,0.028188
all,JJA,RACMO,1,Exp3,Exponential,0.026644
all,JJA,RACMO,1,Exp4,Exponential,0.040583
all,JJA,RACMO,1,Exp5,Exponential,0.054688
all,JJA,RACMO,1,Exp6,Exponential,0.052915
all,JJA,RACMO,1,Exp7,Exponential,0.041954
all,JJA,RACMO,1,Exp8,Exponential,0.038688
all,JJA,RACMO,1,Exp9,Exponential,0.048484
all,JJA,MAR,0,Exp0,Gaussian,0.048995
all,JJA,MAR,0,Exp1,Gaussian,0.053033
all,JJA,MAR,0,Exp2,Gaussian,0.059969
all,JJA,MAR,0,Exp3,Gaussian,0.053441
all,JJA,MAR,0,Exp4,Gaussian,0.053814
all,JJA,MAR,0,Exp5,Gaussian,0.060238
all,JJA,MAR,0,Exp6,Gaussian,0.060306
all,JJA,MAR,0,Exp7,Gaussian,0.039843
all,JJA,MAR,0,Exp8,Gaussian,0.066477
all,JJA,MAR,0,Exp9,Gaussian,0.043618
all,JJA,MAR,0,Exp0,Exponential,0.076945
all,JJA,MAR,0,Exp1,Exponential,0.044101
all,JJA,MAR,0,Exp2,Exponential,0.057501
all,JJA,MAR,0,Exp3,Exponential,0.049003
all,JJA,MAR,0,Exp4,Exponential,0.050897
all,JJA,MAR,0,Exp5,Exponential,0.048623
all,JJA,MAR,0,Exp6,Exponential,0.051696
all,JJA,MAR,0,Exp7,Exponential,0.055991
all,JJA,MAR,0,Exp8,Exponential,0.042715
all,JJA,MAR,0,Exp9,Exponential,0.044538
all,JJA,MAR,1,Exp0,Gaussian,0.054178
all,JJA,MAR,1,Exp1,Gaussian,0.043744
all,JJA,MAR,1,Exp2,Gaussian,0.062294
all,JJA,MAR,1,Exp3,Gaussian,0.064341
all,JJA,MAR,1,Exp4,Gaussian,0.055546
all,JJA,MAR,1,Exp5,Gaussian,0.061508
all,JJA,MAR,1,Exp6,Gaussian,0.055604
all,JJA,MAR,1,Exp7,Gaussian,0.047622
all,JJA,MAR,1,Exp8,Gaussian,0.058044
all,JJA,MAR,1,Exp9,Gaussian,0.060077
all,JJA,MAR,1,Exp0,Exponential,0.070957
all,JJA,MAR,1,Exp1,Exponential,0.046759
all,JJA,MAR,1,Exp2,Exponential,0.061437
all,JJA,MAR,1,Exp3,Exponential,0.056063
all,JJA,MAR,1,Exp4,Exponential,0.056159
all,JJA,MAR,1,Exp5,Exponential,0.042484
all,JJA,MAR,1,Exp6,Exponential,0.045912
all,JJA,MAR,1,Exp7,Exponential,0.036750
all,JJA,MAR,1,Exp8,Exponential,0.062985
all,JJA,MAR,1,Exp9,Exponential,0.053428
all,JJA,CARRA,0,Exp0,Gaussian,0.056304
all,JJA,CARRA,0,Exp1,Gaussian,0.056293
all,JJA,CARRA,0,Exp2,Gaussian,0.060023
all,JJA,CARRA,0,Exp3,Gaussian,0.070195
all,JJA,CARRA,0,Exp4,Gaussian,0.064331
all,JJA,CARRA,0,Exp5,Gaussian,0.063491
all,JJA,CARRA,0,Exp6,Gaussian,0.039426
all,JJA,CARRA,0,Exp7,Gaussian,0.054073
all,JJA,CARRA,0,Exp8,Gaussian,0.060679
all,JJA,CARRA,0,Exp9,Gaussian,0.060911
all,JJA,CARRA,0,Exp0,Exponential,0.049816
all,JJA,CARRA,0,Exp1,Exponential,0.042673
all,JJA,CARRA,0,Exp2,Exponential,0.067536
all,JJA,CARRA,0,Exp3,Exponential,0.046610
all,JJA,CARRA,0,Exp4,Exponential,0.061518
all,JJA,CARRA,0,Exp5,Exponential,0.046998
all,JJA,CARRA,0,Exp6,Exponential,0.046811
all,JJA,CARRA,0,Exp7,Exponential,0.058906
all,JJA,CARRA,0,Exp8,Exponential,0.054103
all,JJA,CARRA,0,Exp9,Exponential,0.071010
all,JJA,CARRA,1,Exp0,Gaussian,0.060031
all,JJA,CARRA,1,Exp1,Gaussian,0.056557
all,JJA,CARRA,1,Exp2,Gaussian,0.051828
all,JJA,CARRA,1,Exp3,Gaussian,0.062784
all,JJA,CARRA,1,Exp4,Gaussian,0.045490
all,JJA,CARRA,1,Exp5,Gaussian,0.054743
all,JJA,CARRA,1,Exp6,Gaussian,0.039517
all,JJA,CARRA,1,Exp7,Gaussian,0.052192
all,JJA,CARRA,1,Exp8,Gaussian,0.062897
all,JJA,CARRA,1,Exp9,Gaussian,0.057958
all,JJA,CARRA,1,Exp0,Exponential,0.075556
all,JJA,CARRA,1,Exp1,Exponential,0.039835
all,JJA,CARRA,1,Exp2,Exponential,0.060290
all,JJA,CARRA,1,Exp3,Exponential,0.055243
all,JJA,CARRA,1,Exp4,Exponential,0.056816
all,JJA,CARRA,1,Exp5,Exponential,0.058155
all,JJA,CARRA,1,Exp6,Exponential,0.040796
all,JJA,CARRA,1,Exp7,Exponential,0.057583
